,date,HASHTAG,count_hashtag
0,2018-12-12,['KAVANO'],1
1,2018-12-12,[],0
2,2018-12-12,[],0
3,2018-12-12,"['ONLYYESMEANSYES', '性侵', '我也是']",3
4,2018-12-11,[],0
5,2018-12-11,"['梦魔的游记', '梦魔の纪行', '催眠疗法', '喝ㄋㄟㄋㄟ', '伊藤润二', '神交', '变态医生']",7
6,2018-12-10,[],0
7,2018-12-10,[],0
8,2018-12-10,[],0
9,2018-12-10,[],0
10,2018-12-09,"['今日中国报', '空姐', '香港']",3
11,2018-12-09,[],0
12,2018-12-09,[],0
13,2018-12-08,['米兔'],1
14,2018-12-07,[],0
15,2018-12-07,['钮承泽'],1
16,2018-12-06,[],0
17,2018-12-06,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '光头', 'POLICEOFFICE']",6
18,2018-12-06,['格の违い'],1
19,2018-12-06,[],0
20,2018-12-06,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '钮祜禄氏', '慈安太后']",6
21,2018-12-05,[],0
22,2018-12-05,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '대만', '台湾', 'TAIWAN', '台湾']",8
23,2018-12-05,[],0
24,2018-12-05,[],0
25,2018-12-04,"['SYNCFROMMASTODON', '男性为求自保决定远离_METOO运动反使女性陷入孤立', '华尔街', '性骚扰', 'NEWS', '新闻', '即时新闻', '中央社']",8
26,2018-12-04,[],0
27,2018-12-04,[],0
28,2018-12-04,['从此看到威士忌就反胃'],1
29,2018-12-02,[],0
30,2018-12-02,[],0
31,2018-12-02,[],0
32,2018-11-29,[],0
33,2018-11-27,[],0
34,2018-11-27,[],0
35,2018-11-27,[],0
36,2018-11-26,[],0
37,2018-11-26,['NOTME'],1
38,2018-11-26,[],0
39,2018-11-26,[],0
40,2018-11-25,[],0
41,2018-11-24,[],0
42,2018-11-24,[],0
43,2018-11-22,[],0
44,2018-11-21,[],0
45,2018-11-20,[],0
46,2018-11-19,[],0
47,2018-11-19,[],0
48,2018-11-19,['台湾独立'],1
49,2018-11-19,[],0
50,2018-11-18,[],0
51,2018-11-18,['越想越不对劲'],1
52,2018-11-18,[],0
53,2018-11-17,[],0
54,2018-11-17,[],0
55,2018-11-17,[],0
56,2018-11-17,[],0
57,2018-11-17,['SYNCFROMMASTODON'],1
58,2018-11-17,['阿离'],1
59,2018-11-17,[],0
60,2018-11-17,[],0
61,2018-11-17,[],0
62,2018-11-16,"['王永森', '堕楼', 'HK', 'HONGKONG', 'HK01', '香港01']",6
63,2018-11-16,[],0
64,2018-11-16,"['自由不自由', '民主不民主']",2
65,2018-11-16,[],0
66,2018-11-16,[],0
67,2018-11-16,['MURMURS'],1
68,2018-11-16,[],0
69,2018-11-16,['HK'],1
70,2018-11-15,[],0
71,2018-11-15,[],0
72,2018-11-15,[],0
73,2018-11-15,[],0
74,2018-11-15,[],0
75,2018-11-15,[],0
76,2018-11-15,[],0
77,2018-11-15,['我也是'],1
78,2018-11-15,[],0
79,2018-11-14,['红通逃犯'],1
80,2018-11-13,"['BELIEVEWOMEN', 'WEDDINGHOST', 'JANET珍妮']",3
81,2018-11-12,[],0
82,2018-11-12,[],0
83,2018-11-11,[],0
84,2018-11-10,[],0
85,2018-11-10,[],0
86,2018-11-10,[],0
87,2018-11-10,"['遣散费9000万美元是什么概念', '大公司不代表都有好的公司文化']",2
88,2018-11-09,['南韩'],1
89,2018-11-09,[],0
90,2018-11-08,[],0
91,2018-11-08,[],0
92,2018-11-07,[],0
93,2018-11-07,[],0
94,2018-11-07,[],0
95,2018-11-07,[],0
96,2018-11-07,[],0
97,2018-11-06,"['性骚扰', '突破汇动青年', 'HK', 'HONGKONG', 'HK01', '香港01']",6
98,2018-11-05,"['印度', 'INDIA', '性侵', 'SEXUALINVASION', '医院', 'HOSTPITAL']",6
99,2018-11-04,[],0
100,2018-11-04,['朝鲜'],1
101,2018-11-04,[],0
102,2018-11-04,[],0
103,2018-11-04,"['卡瓦诺性侵案', 'FAKENEWS']",2
104,2018-11-03,[],0
105,2018-11-03,['PASDEVAGUE'],1
106,2018-11-03,[],0
107,2018-11-02,[],0
108,2018-11-02,[],0
109,2018-11-01,['GOOGLE'],1
110,2018-11-01,['METOO事件簿'],1
111,2018-10-31,[],0
112,2018-10-31,['我支持女权'],1
113,2018-10-31,[],0
114,2018-10-30,"['砸锅', '姐姐妹妹站起来']",2
115,2018-10-30,['因涉及重大公共议题已全文公开'],1
116,2018-10-29,[],0
117,2018-10-29,[],0
118,2018-10-29,[],0
119,2018-10-28,"['ANDROID', '安卓之父', 'GOOGLE', 'ANDYRUBIN', 'TECHDAILY']",5
120,2018-10-27,['CHURCHTOO'],1
121,2018-10-27,"['ANDROID', 'ANDYRUBIN', 'GOOGLE']",3
122,2018-10-27,[],0
123,2018-10-27,[],0
124,2018-10-26,[],0
125,2018-10-26,[],0
126,2018-10-26,[],0
127,2018-10-26,[],0
128,2018-10-26,[],0
129,2018-10-26,[],0
130,2018-10-25,[],0
131,2018-10-25,[],0
132,2018-10-25,[],0
133,2018-10-24,[],0
134,2018-10-24,"['寻找岳昕', 'LOOKFORYUEXIN', 'HUMANRIGHTS', 'WORKERS', 'FEMINIST', 'FEMINISMO']",6
135,2018-10-23,[],0
136,2018-10-23,[],0
137,2018-10-23,[],0
138,2018-10-23,[],0
139,2018-10-23,"['AOA', '雪炫', 'SEOLHYUN', '설현', '韩国', 'SOUTHKOREA']",6
140,2018-10-22,[],0
141,2018-10-22,[],0
142,2018-10-22,[],0
143,2018-10-22,[],0
144,2018-10-22,[],0
145,2018-10-22,"['重磅', 'METOO运动一周年之际']",2
146,2018-10-21,"['重磅', 'METOO运动一周年之际']",2
147,2018-10-21,['我也是'],1
148,2018-10-20,[],0
149,2018-10-20,[],0
150,2018-10-19,[],0
151,2018-10-19,[],0
152,2018-10-19,[],0
153,2018-10-19,[],0
154,2018-10-18,[],0
155,2018-10-18,[],0
156,2018-10-18,[],0
157,2018-10-18,[],0
158,2018-10-18,[],0
159,2018-10-17,[],0
160,2018-10-17,[],0
161,2018-10-17,[],0
162,2018-10-17,['NICOLEKIDMAN'],1
163,2018-10-17,[],0
164,2018-10-17,[],0
165,2018-10-16,[],0
166,2018-10-16,['郭强奸'],1
167,2018-10-16,[],0
168,2018-10-16,['HIMTOO'],1
169,2018-10-16,[],0
170,2018-10-14,[],0
171,2018-10-14,[],0
172,2018-10-14,[],0
173,2018-10-14,[],0
174,2018-10-14,"['美国', 'USA', 'AMERICAN', '赖比瑞亚', 'LIBERIA', '非洲', 'AFRICA', 'SEXUALABUSE', 'MORETHANME', 'MACINTOSHJOHNSON', 'KATIEMEYLER']",11
175,2018-10-14,"['佳片推荐', '女强人', '母亲']",3
176,2018-10-14,[],0
177,2018-10-14,[],0
178,2018-10-14,"['李偲嫣', 'HK', 'HONGKONG', 'HK01', '香港01']",5
179,2018-10-13,[],0
180,2018-10-13,"['郭文贵关了马蕊一年', '郭文贵末日']",2
181,2018-10-12,"['花花公子俱乐部', '兔女郎']",2
182,2018-10-12,"['EVERYWOMAN', 'BELIEVEWOMEN', 'YESALLWOMEN']",3
183,2018-10-11,['末日'],1
184,2018-10-11,['郭文鬼末日'],1
185,2018-10-11,['VOTEBLUE'],1
186,2018-10-11,[],0
187,2018-10-10,[],0
188,2018-10-10,[],0
189,2018-10-10,[],0
190,2018-10-10,[],0
191,2018-10-10,[],0
192,2018-10-09,[],0
193,2018-10-09,"['METOOINDIA', 'METOOINDIA']",2
194,2018-10-08,['美国'],1
195,2018-10-08,"['PARAGUAY', '巴拉圭', 'JULIANAVEGA', 'RESIGN', '性骚扰', 'SEXUALHARASSMENT', '外交部', '대만', '台湾', 'TAIWAN', '台湾']",11
196,2018-10-08,[],0
197,2018-10-07,[],0
198,2018-10-07,[],0
199,2018-10-07,"['朱军', '米兔']",2
200,2018-10-07,[],0
201,2018-10-07,"['阿波罗网', '米兔', '左派', '女权运动', '性侵', '性解放']",6
202,2018-10-06,['FORDKAVANAUGH'],1
203,2018-10-06,[],0
204,2018-10-06,[],0
205,2018-10-06,['DRUMPF'],1
206,2018-10-05,['诺贝尔'],1
207,2018-10-05,[],0
208,2018-10-05,"['TIMESUP', 'TARANABURKE', 'HARVEYWEINSTEIN', 'GWYNETHPALTROW', 'ANGELINAJOLIE', 'ALYSSAMILANO', 'UMATHURMAN', 'REESEWITHERSPOON']",8
209,2018-10-05,['我也是'],1
210,2018-10-05,[],0
211,2018-10-05,['SUSANCOLLINS'],1
212,2018-10-05,['性行为'],1
213,2018-10-05,"['似曾相识', '内乜嘢郎', '胡大导配', '粤配小先锋', '信错顾问']",5
214,2018-10-05,[],0
215,2018-10-05,[],0
216,2018-10-05,[],0
217,2018-10-05,[],0
218,2018-10-05,['USA'],1
219,2018-10-05,[],0
220,2018-10-05,[],0
221,2018-10-05,[],0
222,2018-10-05,[],0
223,2018-10-05,[],0
224,2018-10-05,['KAVANAUGH'],1
225,2018-10-04,[],0
226,2018-10-04,[],0
227,2018-10-04,[],0
228,2018-10-03,[],0
229,2018-10-03,['线上对谈'],1
230,2018-10-03,['IBELIEVEYOU'],1
231,2018-10-03,[],0
232,2018-10-02,['METOOMATTERS'],1
