,date,HASHTAG,count_hashtag
0,2018-12-12,['KAVANO'],1
3,2018-12-12,"['ONLYYESMEANSYES', '性侵', '我也是']",3
5,2018-12-11,"['梦魔的游记', '梦魔の纪行', '催眠疗法', '喝ㄋㄟㄋㄟ', '伊藤润二', '神交', '变态医生']",7
10,2018-12-09,"['今日中国报', '空姐', '香港']",3
13,2018-12-08,['米兔'],1
15,2018-12-07,['钮承泽'],1
17,2018-12-06,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '光头', 'POLICEOFFICE']",6
18,2018-12-06,['格の违い'],1
20,2018-12-06,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '钮祜禄氏', '慈安太后']",6
22,2018-12-05,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '대만', '台湾', 'TAIWAN', '台湾']",8
25,2018-12-04,"['SYNCFROMMASTODON', '男性为求自保决定远离_METOO运动反使女性陷入孤立', '华尔街', '性骚扰', 'NEWS', '新闻', '即时新闻', '中央社']",8
28,2018-12-04,['从此看到威士忌就反胃'],1
37,2018-11-26,['NOTME'],1
48,2018-11-19,['台湾独立'],1
51,2018-11-18,['越想越不对劲'],1
57,2018-11-17,['SYNCFROMMASTODON'],1
58,2018-11-17,['阿离'],1
62,2018-11-16,"['王永森', '堕楼', 'HK', 'HONGKONG', 'HK01', '香港01']",6
64,2018-11-16,"['自由不自由', '民主不民主']",2
67,2018-11-16,['MURMURS'],1
69,2018-11-16,['HK'],1
77,2018-11-15,['我也是'],1
79,2018-11-14,['红通逃犯'],1
80,2018-11-13,"['BELIEVEWOMEN', 'WEDDINGHOST', 'JANET珍妮']",3
87,2018-11-10,"['遣散费9000万美元是什么概念', '大公司不代表都有好的公司文化']",2
88,2018-11-09,['南韩'],1
97,2018-11-06,"['性骚扰', '突破汇动青年', 'HK', 'HONGKONG', 'HK01', '香港01']",6
98,2018-11-05,"['印度', 'INDIA', '性侵', 'SEXUALINVASION', '医院', 'HOSTPITAL']",6
100,2018-11-04,['朝鲜'],1
103,2018-11-04,"['卡瓦诺性侵案', 'FAKENEWS']",2
105,2018-11-03,['PASDEVAGUE'],1
109,2018-11-01,['GOOGLE'],1
110,2018-11-01,['METOO事件簿'],1
112,2018-10-31,['我支持女权'],1
114,2018-10-30,"['砸锅', '姐姐妹妹站起来']",2
115,2018-10-30,['因涉及重大公共议题已全文公开'],1
119,2018-10-28,"['ANDROID', '安卓之父', 'GOOGLE', 'ANDYRUBIN', 'TECHDAILY']",5
120,2018-10-27,['CHURCHTOO'],1
121,2018-10-27,"['ANDROID', 'ANDYRUBIN', 'GOOGLE']",3
134,2018-10-24,"['寻找岳昕', 'LOOKFORYUEXIN', 'HUMANRIGHTS', 'WORKERS', 'FEMINIST', 'FEMINISMO']",6
139,2018-10-23,"['AOA', '雪炫', 'SEOLHYUN', '설현', '韩国', 'SOUTHKOREA']",6
145,2018-10-22,"['重磅', 'METOO运动一周年之际']",2
146,2018-10-21,"['重磅', 'METOO运动一周年之际']",2
147,2018-10-21,['我也是'],1
162,2018-10-17,['NICOLEKIDMAN'],1
166,2018-10-16,['郭强奸'],1
168,2018-10-16,['HIMTOO'],1
174,2018-10-14,"['美国', 'USA', 'AMERICAN', '赖比瑞亚', 'LIBERIA', '非洲', 'AFRICA', 'SEXUALABUSE', 'MORETHANME', 'MACINTOSHJOHNSON', 'KATIEMEYLER']",11
175,2018-10-14,"['佳片推荐', '女强人', '母亲']",3
178,2018-10-14,"['李偲嫣', 'HK', 'HONGKONG', 'HK01', '香港01']",5
180,2018-10-13,"['郭文贵关了马蕊一年', '郭文贵末日']",2
181,2018-10-12,"['花花公子俱乐部', '兔女郎']",2
182,2018-10-12,"['EVERYWOMAN', 'BELIEVEWOMEN', 'YESALLWOMEN']",3
183,2018-10-11,['末日'],1
184,2018-10-11,['郭文鬼末日'],1
185,2018-10-11,['VOTEBLUE'],1
193,2018-10-09,"['METOOINDIA', 'METOOINDIA']",2
194,2018-10-08,['美国'],1
195,2018-10-08,"['PARAGUAY', '巴拉圭', 'JULIANAVEGA', 'RESIGN', '性骚扰', 'SEXUALHARASSMENT', '外交部', '대만', '台湾', 'TAIWAN', '台湾']",11
201,2018-10-07,"['阿波罗网', '米兔', '左派', '女权运动', '性侵', '性解放']",6
202,2018-10-06,['FORDKAVANAUGH'],1
