,date,tweet,HASHTAG,count_hashtag
0,2018-12-12,应该意识到，合格的、没有 #MeToo 污点的大法官至少好几位。这个单一裁决并不能洗清他是个戏精、撒谎者、为上位无所不用其极的投机份子。 况且，最关键要看，如果需要裁定「司法部能否起诉现任总统」时，他怎么站队？#KavaNo @LINK …,['KAVANO'],1
1,2018-12-12,今年九月，麦当劳员工大动作起身抗议，呼吁麦当劳不要再漠视性骚扰案件。一起看 #MeToo 运动如何从政治、演艺圈走向蓝领阶层。   @LINK …,[],0
2,2018-12-12,「如果洁身自爱，性侵害就不会找上你」：#Metoo 一年了，世界改变了吗？  @LINK ,[],0
3,2018-12-12,「要保护自己」原本是善意，怎么变成毒药了呢？看图了解更多！ 延伸阅读： 关于Only Yes means yes更多你可能忽略的事实  @LINK  影片：为什么我们会责怪被害者  @LINK  #Metoo #OnlyYesmeansyes #性侵 #我也是 pic.twitter.com/p49TMIJ31n,"['ONLYYESMEANSYES', '性侵', '我也是']",3
4,2018-12-11,2018年，东亚各国推行的种种压制性措施令人忧虑，我们看见公民社会空间日渐紧缩、律师及人权捍卫者被镇压、各国在废除死刑的问题上进展悲观。  但 #metoo 运动以及承认同性伴侣关系方面的积极迹象，让我们在迈入2019年之际仍能看到一些曙光。   @LINK ,[],0
5,2018-12-11,哦耶～夜夜夜～给我喝ㄋㄟㄋㄟ #梦魔的游记 #梦魔の纪行 #催眠疗法 #喝ㄋㄟㄋㄟ #伊藤润二 #神交 #metoo #变态医生  @LINK …,"['梦魔的游记', '梦魔の纪行', '催眠疗法', '喝ㄋㄟㄋㄟ', '伊藤润二', '神交', '变态医生']",7
6,2018-12-10,"转噗 女人迷 womany: 钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？

 @LINK  @LINK ",[],0
7,2018-12-10,"转噗 女人迷 womany: 钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？

 @LINK  @LINK ",[],0
8,2018-12-10,钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？   @LINK …,[],0
9,2018-12-10,#metoo 年代，有都好应该？ - 英国大学学生会，有愈来愈多少数代表，例如同性恋、少数族裔，最近西兰开郡大学甚至出现男性代表。 一位38岁嘅男学生选到呢个位，唔少人都语带耻笑，唔少人都觉得「男性代表不足」嘅说法还丹离奇。 其实好几间英国大.....  @LINK ,[],0
10,2018-12-09,数名香港女空服员披露，她们不仅受乘客骚扰，其他航空公司的同业也曾伸出咸猪手。  @LINK  ⬇看过来⬇ ✌中国报最新网站 「北马人」告诉你北马大小事 → @LINK  ✌中国报最新网站 东海岸人报你知 → @LINK  #今日中国报 #空姐 #香港 #MeToo  pic.twitter.com/sRPqyn6lpI,"['今日中国报', '空姐', '香港']",3
11,2018-12-09,丽始小姑娘 任人来打扮 仙发老人家 轻声说迷途 #MeToo,[],0
12,2018-12-09,鼻要这样想～ #MeToo,[],0
13,2018-12-08,我也遭受了淫秽行为。  「我会引起你的性羞耻。你会成为受害者，你不能说是什么伤害」  「继续出现在媒体上进行骚扰，引导你自杀」  我受到了PicoTaro的威胁。  我必须忍受虐待吗？  我不想忍受它。  #MeToo #米兔,['米兔'],1
14,2018-12-07,【周末分享】看不见的手──谁让性暴力受害者噤声？ 　 从年初的法官性骚扰案、6 月爆发的身心障碍机构性侵案、华山性侵分尸案，一桩桩案件激起水花却无法产生涟漪。  当反性侵、性骚的「#Metoo」运动在全球风起云涌时，台湾却相对寂静。...  @LINK …,[],0
15,2018-12-07,台湾演艺圈真是有趣，遇到了外省挂的大咖，每个都温良恭俭让了起来，说好的metoo呢？#钮承泽 #MeToo,['钮承泽'],1
16,2018-12-06,一周新闻重点整理  周日：韩国瑜好棒棒 周一：严凯泰蒙主宠召 周二：韩国瑜好棒棒 周三：贵妇奈奈倒闭跑路 周四：韩国瑜好棒棒 周五：钮承泽被 #Metoo⬅️现在在这里 周六：韩国瑜好棒棒  改编一下文豪萧伯纳的自嘲：电视打开都是我的画面，害我以为我死了。,[],0
17,2018-12-06,钮承泽剃大光头一抹微笑，「让我去大安分局吧！」 #钮承泽 #NiuChenZer #豆导 #director #MeToo #光头 #policeoffice  →→ @LINK  pic.twitter.com/vAEaSCZlGn,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '光头', 'POLICEOFFICE']",6
18,2018-12-06,特攻队 #MeToo #格の违い @LINK …,['格の违い'],1
19,2018-12-06,钮承泽事件会不会演变成台湾演艺圈的 #metoo 运动？,[],0
20,2018-12-06,【最即时专题6】家里出4皇后2皇帝！钮承泽满清后代，炫耀慈安「我姑奶奶」 #钮承泽 #NiuChenZer #豆导 #director #MeToo #钮祜禄氏 #慈安太后 @LINK ,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '钮祜禄氏', '慈安太后']",6
21,2018-12-05,花街的确没啥 #metoo 实在人，什么都可以量化再对冲风险,[],0
22,2018-12-05,【名导性侵】钮承泽被爆强吻张钧宁，逼柯奂如全裸拍床戏 #钮承泽 #NiuChenZer #豆导 #director #MeToo #대만 #台湾 #Taiwan #台湾 @LINK ,"['钮承泽', 'NIUCHENZER', '豆导', 'DIRECTOR', '대만', '台湾', 'TAIWAN', '台湾']",8
23,2018-12-05,@MENTION 西贡崇真天主教小学训导主任涉30年前非礼5女子被控　下周二提堂 再有「#MeToo」反性侵案！警方发言人证实，5名女子报称于30年前被学校男教师非礼，警方今年3   @LINK ,[],0
24,2018-12-05,@MENTION 西贡崇真天主教小学训导主任涉30年前非礼5女子被控　下周二提堂 再有「#MeToo」反性侵案！警方发言人证实，5名女子报称于30年前被学校男教师非礼，警方今年3   @LINK ,[],0
25,2018-12-04,#SyncFromMastodon  男性为求自保决定远离 MeToo运动反使女性陷入孤立 | 国际 | 重点新闻 | 中央社 CNA  @LINK … #男性为求自保决定远离_MeToo运动反使女性陷入孤立 #MeToo #华尔街 #性骚扰 #News #新闻 #即时新闻 #中央社  @LINK …,"['SYNCFROMMASTODON', '男性为求自保决定远离_METOO运动反使女性陷入孤立', '华尔街', '性骚扰', 'NEWS', '新闻', '即时新闻', '中央社']",8
26,2018-12-04,在国内，顺性别女性群体从来都不待见mtf，很多女性主义支持者都带有trans-exclusive倾向。她们当然会支持很多性别议题比如 #MeToo ，但看到我们还是会觉得，看，这群人多恶心，还想模仿我们？  这世界大概是要完了吧。我会无比希望地球爆炸，世界毁灭呢。,[],0
27,2018-12-04,没有人会想要身边随时抱着不定时炸弹 #MeToo  @LINK …,[],0
28,2018-12-04,一次同窗朋友生日聚会举办在某位的学生宿舍中 当晚大家有志一同都带了威士忌 酒过三巡，而游戏怎么玩怎么输 喝了有点多 忍住喉间的不适感，我往走廊另一方的厕所去 而他尾随了我也进了厕所 #MeToo #从此看到威士忌就反胃,['从此看到威士忌就反胃'],1
29,2018-12-02,本官宣判：  　衣着性感，深夜外出， 　虽口口声声说：No means no! 　但显然隐晦地确认同意与对方发生关系！  　退堂！  #MeToo!  @LINK …,[],0
30,2018-12-02,本官宣判：  　衣着性感，深夜外出， 　虽口口声声说：No means no! 　但显然隐晦地确认同意与对方发生关系！  　退堂！  #MeToo!  @LINK …,[],0
