Id,Label,Weight
意识,意识,15
合格,合格,3
污点,污点,1
大法官,大法官,22
至少,至少,10
好几位,好几位,1
单一,单一,1
裁决,裁决,6
洗清,洗清,1
戏精,戏精,1
撒谎,撒谎,1
上位,上位,2
无所不用其极,无所不用其极,1
投机份子,投机份子,1
关键,关键,7
裁定,裁定,3
司法部,司法部,1
起诉,起诉,18
现任,现任,1
总统,总统,7
时,时,32
站队,站队,4
九月,九月,1
麦当劳,麦当劳,5
员工,员工,21
动作,动作,1
起身,起身,1
抗议,抗议,8
呼吁,呼吁,9
漠视,漠视,1
性骚扰,性骚扰,236
案件,案件,18
运动,运动,262
政治,政治,34
演艺圈,演艺圈,4
走向,走向,5
蓝领阶层,蓝领阶层,1
洁身自爱,洁身自爱,1
性,性,62
侵害,侵害,33
找,找,13
一年,一年,11
世界,世界,26
改变,改变,14
保护,保护,25
原本,原本,5
善意,善意,3
毒药,毒药,1
图,图,6
延伸,延伸,2
阅读,阅读,3
忽略,忽略,3
事实,事实,11
影片,影片,8
责怪,责怪,2
被害者,被害者,4
性侵,性侵,205
年,年,64
东亚各国,东亚各国,1
推行,推行,3
种种,种种,5
压制性,压制性,2
措施,措施,1
令人,令人,8
忧虑,忧虑,1
公民,公民,4
社会,社会,70
空间,空间,2
紧缩,紧缩,1
律师,律师,11
人权,人权,17
捍卫者,捍卫者,3
镇压,镇压,3
各国,各国,6
废除,废除,1
死刑,死刑,2
进展,进展,6
悲观,悲观,1
承认,承认,9
性伴侣,性伴侣,2
关系,关系,15
迹象,迹象,1
迈入,迈入,1
之际,之际,11
仍能,仍能,1
曙光,曙光,1
耶,耶,3
夜夜,夜夜,1
夜,夜,1
喝,喝,6
ㄋ,ㄋ,4
ㄟ,ㄟ,4
梦魔,梦魔,2
游记,游记,1
の,の,3
纪行,纪行,1
催眠疗法,催眠疗法,1
伊藤润二,伊藤润二,1
神交,神交,1
变态,变态,5
医生,医生,4
转,转,18
噗,噗,17
女人,女人,60
迷,迷,15
钮承泽,钮承泽,10
事件,事件,120
后续,后续,8
回应,回应,15
媒体,媒体,68
有罪,有罪,18
推定,推定,11
咎责,咎责,3
言论,言论,12
发展,发展,14
瓶颈,瓶颈,3
困境,困境,5
相似之处,相似之处,3
做,做,64
年代,年代,2
英国大学,英国大学,1
学生会,学生会,2
愈来愈多,愈来愈多,2
代表,代表,9
同性恋,同性恋,4
族裔,族裔,1
西兰,西兰,1
开郡,开郡,1
大学,大学,13
男性,男性,59
一位,一位,21
岁,岁,31
嘅,嘅,16
男,男,44
学生,学生,40
选到,选到,1
个位,个位,1
唔,唔,21
少人,少人,2
语带,语带,1
耻笑,耻笑,2
说法,说法,2
还丹,还丹,1
离奇,离奇,1
好几间,好几间,1
英国,英国,2
数名,数名,2
香港,香港,25
女空,女空,1
服员,服员,1
披露,披露,3
受,受,21
乘客,乘客,2
骚扰,骚扰,41
航空公司,航空公司,2
同业,同业,1
伸出,伸出,4
咸猪,咸猪,3
手,手,16
⬇,⬇,5
✌,✌,2
中国,中国,313
报,报,9
最新,最新,16
网站,网站,6
北马人,北马人,1
告诉,告诉,12
北马,北马,1
大小事,大小事,1
东海岸,东海岸,1
人报,人报,1
知,知,4
今日,今日,13
空姐,空姐,1
丽始,丽始,1
小姑娘,小姑娘,1
任人来,任人来,1
打扮,打扮,2
仙发,仙发,1
老人家,老人家,1
轻声,轻声,1
说,说,185
迷途,迷途,1
鼻要,鼻要,1
想,想,70
遭受,遭受,19
淫秽,淫秽,14
我会,我会,5
羞耻,羞耻,3
受害者,受害者,78
伤害,伤害,20
引导,引导,12
自杀,自杀,17
威胁,威胁,17
忍受,忍受,5
虐待,虐待,6
不想,不想,6
米,米,82
兔,兔,83
周末,周末,2
分享,分享,5
看不见,看不见,1
─,─,6
性暴力,性暴力,8
噤声,噤声,3
年初,年初,1
法官,法官,18
案,案,10
月,月,50
爆发,爆发,11
身心,身心,1
障碍,障碍,3
机构,机构,12
侵案,侵案,24
华山,华山,1
分尸案,分尸案,1
一桩,一桩,1
桩,桩,1
激起,激起,1
水花,水花,2
涟漪,涟漪,2
当反性,当反性,1
侵,侵,81
性骚,性骚,9
全球,全球,33
风起云涌,风起云涌,5
台湾,台湾,28
寂静,寂静,1
有趣,有趣,2
外省,外省,1
挂,挂,4
咖,咖,2
温良恭俭让,温良恭俭让,1
说好,说好,1
一周,一周,3
新闻,新闻,33
重点,重点,4
整理,整理,7
周日,周日,2
韩国,韩国,35
瑜,瑜,4
棒棒,棒棒,4
周一,周一,2
严,严,1
凯泰,凯泰,1
蒙主宠召,蒙主宠召,1
周二,周二,5
周三,周三,2
贵妇,贵妇,1
奈奈,奈奈,1
倒闭,倒闭,1
跑,跑,9
路,路,13
周四,周四,2
周五,周五,2
钮承,钮承,2
泽被,泽被,2
⬅,⬅,1
️,️,28
周六,周六,2
改编,改编,1
文豪,文豪,1
萧伯纳,萧伯纳,1
自嘲,自嘲,1
电视,电视,19
打开,打开,2
画面,画面,2
害,害,4
死,死,11
剃,剃,1
光头,光头,2
一抹,一抹,1
微笑,微笑,1
大安,大安,1
分局,分局,1
豆导,豆导,3
特攻队,特攻队,1
格,格,4
违,违,1
い,い,2
演变成,演变成,4
即时,即时,2
专题,专题,3
家里,家里,3
皇后,皇后,2
皇帝,皇帝,2
满清,满清,1
后代,后代,1
炫耀,炫耀,1
慈安,慈安,1
姑奶奶,姑奶奶,1
钮祜禄,钮祜禄,1
氏,氏,1
慈安太后,慈安太后,1
花街,花街,1
实在,实在,9
量化,量化,1
对冲,对冲,1
风险,风险,2
名导,名导,3
爆强,爆强,1
吻,吻,4
张钧宁,张钧宁,1
逼柯奂,逼柯奂,1
全裸,全裸,2
拍床,拍床,1
戏,戏,2
대,대,4
만,만,3
西贡,西贡,2
崇真,崇真,2
天主教,天主教,2
小学,小学,4
