,time_stamp,text,HASHTAG,count_hashtag
7193,2018-03-14,@MENTION @MENTION @MENTION #MeToo,[],0
7194,2018-03-14,Helsingissä huhtikuussa järjestettävän Season Film Festivalin ohjaajista puolet on naisia – tapahtuma ottaa kantaa myös #metoo-ilmiöön #seasonfilmfestival @LINK …,['SEASONFILMFESTIVAL'],1
7195,2018-03-14,"STTOP2toSTART: An Abuse Trauma Recovery Film explores the healing power of art, so there had to be paint at our rehearsals. Please follow us on Twitter and we welcome donations to fund this work on  @LINK .#STTOP2START #metoo #healmetoo #arttherapy pic.twitter.com/gX5ZWo6ZnX","['STTOP2START', 'HEALMETOO', 'ARTTHERAPY']",3
7196,2018-03-14,Another great International Women's Week event is happening tonight- Join the discussion at the #MeToo Panel at 6pm in the SUB (room 303).. FREE Snacks and refreshments!!  @LINK ,[],0
7197,2018-03-14,The #MeToo stories you haven't heard: Meet the women speaking out in Nigeria  @LINK ,[],0
7198,2018-03-14,"Und im Korb: Was darf der MDR eigentlich im Hühnerstall? Österreichs Vize-Kanzler Strache entschuldigt sich bei ORF-Mann Wolf, in Pakistan soll ne App das Hate-Problem im Netz lösen und #metoo ist Wort des Jahres in der Schweiz. @LINK …",[],0
7199,2018-03-14,"¿Que parece que el #MeToo llega a Corea? De repente hay boom de los acusados felizmente casados o de repente, con novia.¿Que parece que este o esta sean homosexuales? Les meten en un programa donde tienen que ejercer la heterosexualidad 24/7.",[],0
7200,2018-03-14,I liked a @MENTION video  @LINK  #MeToo Movement Heading NOWHERE FAST?,[],0
7201,2018-03-14,The #MeToo #Feminism silence on the rape of working-class girls is deafening. @LINK ,['FEMINISM'],1
7202,2018-03-14,"@MENTION brings Wages for Housework campaign into dialogue with #metoo, the labor of love framework, and the slippage of work and home boundaries that the movement leaders ""seemed to anticipate."" Great piece!  @LINK …",[],0
7203,2018-03-14,Outside investigator is now also needed to investigate the Denver City Council and the payout of over 1/4 million Denver taxpayer dollars possibly associated with this scandal and coverup.#copolitcs #HancockScandal #metoo  @LINK …,"['COPOLITCS', 'HANCOCKSCANDAL']",2
7204,2018-03-14,"RT gryphonboy : Yea, not really seeing much #metoo kerfuffle over this issue. Wonder why?  @LINK ",[],0
7205,2018-03-14,"At #SXSW, former California Gov. Arnold Schwarzenegger lets loose on climate change, Donald Trump and gives his first in-depth remarks on #MeToo:  @LINK  pic.twitter.com/YnUGWfFehe",['SXSW'],1
7206,2018-03-14,@MENTION @MENTION Is it the same scope and scale as household names? The point is that the fame and power of perpetrators targeted by #metoo is not selected for the purpose of fame and power of victims as the article suggests.,[],0
7207,2018-03-14,"Thanks for the RT, @MENTION! What do you think about that study? #women #metoo #genderequity","['WOMEN', 'GENDEREQUITY']",2
7208,2018-03-14,Can’t have it both ways. If a man had done this there would have been and uproar and he would have been sacked.  @LINK … #DoubleStandard #MeToo  #Shame #SackPerry #SunriseOn7,"['DOUBLESTANDARD', 'SHAME', 'SACKPERRY', 'SUNRISEON7']",4
7209,2018-03-14,#MeToo  @LINK …,[],0
7210,2018-03-14,Woke up to find an unsolicited dick pic in my inbox.... I love being sexually harassed first thing in the morning #feminism #metoo #dickpic #sexualharassment,"['FEMINISM', 'DICKPIC', 'SEXUALHARASSMENT']",3
7211,2018-03-14,@MENTION #metoo,[],0
7212,2018-03-14,No increase in sexual harassment complaints w/#EEOC yet following #MeToo  @LINK …,['EEOC'],1
7213,2018-03-14,The lack of comment on the Telford abuse scandal exposes the hypocrisy at the heart of the #MeToo movement. #PMQs @LINK …,['PMQS'],1
7214,2018-03-14,"Yea, not really seeing much #metoo kerfuffle over this issue. Wonder why?  @LINK ",[],0
7215,2018-03-14,"#MeToo doesn’t care about #Telford because it doesn’t concern their boogeyman, the Patriarchy™ @LINK …",['TELFORD'],1
7216,2018-03-14,"“How Movements Like #MeToo Can Address Marginalization, Isolation, and Alienation Among Activists” by Omotayo Jolaosho  @LINK … Important piece by excellent scholar on embodied experience in activism by @MENTION",[],0
7217,2018-03-14,MP caught up in 'special massage' scandal refuses to name website  @LINK  via @MENTION#metoo,[],0
7218,2018-03-14,Hypocrisy at the heart of the #MeToo movement.  @LINK …,[],0
7219,2018-03-14,"Des barres de rire la prof d’anglais fluent et vantarde gneu gneu, madame a affirmé qu’aux oscars ils portaient du noir pour #metoo, sauf que je l’ai remise à sa place en disant que c’était aux BAFTAs et aux Golden Globes",[],0
7220,2018-03-14,シゴオワァハァァァアアァァン#metoo,[],0
7221,2018-03-14,Join us at The Inclusion Convention where we will discuss institutional sexual harassment and take recommendations to Parliament about making change happen. Book now:  @LINK … #inclusionconvention #silentwitness #metoo #timesup #NoMoreSilence #EndSilentWitnesses pic.twitter.com/IPfohciodZ,"['INCLUSIONCONVENTION', 'SILENTWITNESS', 'TIMESUP', 'NOMORESILENCE', 'ENDSILENTWITNESSES']",5
7222,2018-03-14,#MeToo has been suspiciously silent on the Telford sexual abuse ring. Where are the women's march leaders when the perpetrators use Islam to justify their horrific actions? @MENTION @MENTION @LINK …@MENTION,[],0
7223,2018-03-14,"Another account of Rebecca Watson's rapey behaviour at conferences. You know, the one who lectures others on sexual harassment! #TimesUp #MeToo  pic.twitter.com/ZJ5laxYZAL",['TIMESUP'],1
