,time_stamp,text,sentence,num_sentence,average_sentence_length,tokens,count_tokens
1611,2018-03-18,@MENTION filled in 4 suddenly busy #CheckpointGal 2 give award 2 #MeToo #TimesUp guy brett ratner @ uber Zionist gala JNF plants European trees over destroyed-by Israel-#Palestine villages who gave gal heads up2avoid THAT photo op? @MENTION @MENTION @MENTION @MENTION @LINK …,"['@MENTION filled in 4 suddenly busy #CheckpointGal 2 give award 2 #MeToo #TimesUp guy brett ratner @ uber Zionist gala JNF plants European trees over destroyed-by Israel-#Palestine villages who gave gal heads up2avoid THAT photo op?', '@MENTION @MENTION @MENTION @MENTION @LINK\xa0…']",2,22,"['@MENTION', 'filled', 'in', '4', 'suddenly', 'busy', 'CheckpointGal', '2', 'give', 'award', '2', 'MeToo', 'TimesUp', 'guy', 'brett', 'ratner', '@', 'uber', 'Zionist', 'gala', 'JNF', 'plants', 'European', 'trees', 'over', 'destroyed', 'by', 'Israel', 'Palestine', 'villages', 'who', 'gave', 'gal', 'heads', 'up2avoid', 'THAT', 'photo', 'op', '@MENTION', '@MENTION', '@MENTION', '@MENTION', '@LINK']",43
1612,2018-03-18,"A new episode of Dean-O-Files has been released!""#33: What #MeToo Says About Our Broken Sexuality"" is avalaible NOW at  @LINK  and in your favorite podcatchers.#sexuality #politics #news #podcast #airadio","['A new episode of Dean-O-Files has been released!', '""#33: What #MeToo Says About Our Broken Sexuality"" is avalaible NOW at  @LINK\xa0 and in your favorite podcatchers.#sexuality #politics #news #podcast #airadio']",2,17,"['A', 'new', 'episode', 'of', 'Dean', 'O', 'Files', 'has', 'been', 'released', '33', 'What', 'MeToo', 'Says', 'About', 'Our', 'Broken', 'Sexuality', 'is', 'avalaible', 'NOW', 'at', '@LINK', 'and', 'in', 'your', 'favorite', 'podcatchers', 'sexuality', 'politics', 'news', 'podcast', 'airadio']",33
1613,2018-03-18,Otra defensa silenciosa #MeToo  @LINK ,['Otra defensa silenciosa #MeToo  @LINK'],1,5,"['Otra', 'defensa', 'silenciosa', 'MeToo', '@LINK']",5
1614,2018-03-18,"Coolest coinage I've heard today, courtesy of @MENTION: ""performative feminism"". It's what far too many ""progressive"" men are doing. (You know the ones. They're undercutting #MeToo and dodging housework.) Seriously, guys, step up or shut up.","['Coolest coinage I\'ve heard today, courtesy of @MENTION: ""performative feminism"".', 'It\'s what far too many ""progressive"" men are doing.', '(You know the ones.', ""They're undercutting #MeToo and dodging housework.)"", 'Seriously, guys, step up or shut up.']",5,8,"['Coolest', 'coinage', 'I', 've', 'heard', 'today', 'courtesy', 'of', '@MENTION', 'performative', 'feminism', 'It', 's', 'what', 'far', 'too', 'many', 'progressive', 'men', 'are', 'doing', 'You', 'know', 'the', 'ones', 'They', 're', 'undercutting', 'MeToo', 'and', 'dodging', 'housework', 'Seriously', 'guys', 'step', 'up', 'or', 'shut', 'up']",39
1615,2018-03-18,My friend wrote this! :D#MeToo: Emotional abuse primer  @LINK …,"['My friend wrote this!', ':D#MeToo: Emotional abuse primer  @LINK\xa0…']",2,5,"['My', 'friend', 'wrote', 'this', 'D', 'MeToo', 'Emotional', 'abuse', 'primer', '@LINK']",10
1616,2018-03-18,So Hollywood is fighting the #MeToo movement by taking #sharia $$. Nice! Can't wait to hear more lecturing from those assholes! @LINK …,"['So Hollywood is fighting the #MeToo movement by taking #sharia $$.', 'Nice!', ""Can't wait to hear more lecturing from those assholes!"", '@LINK\xa0…']",4,6,"['So', 'Hollywood', 'is', 'fighting', 'the', 'MeToo', 'movement', 'by', 'taking', 'sharia', 'Nice', 'Can', 't', 'wait', 'to', 'hear', 'more', 'lecturing', 'from', 'those', 'assholes', '@LINK']",22
1617,2018-03-18,"We love your poem, Aleenah, and we're so proud to have included your voice in this anthology.#MeToo #TimesUp...  @LINK ","[""We love your poem, Aleenah, and we're so proud to have included your voice in this anthology.#MeToo #TimesUp...  @LINK""]",1,21,"['We', 'love', 'your', 'poem', 'Aleenah', 'and', 'we', 're', 'so', 'proud', 'to', 'have', 'included', 'your', 'voice', 'in', 'this', 'anthology', 'MeToo', 'TimesUp', '@LINK']",21
1618,2018-03-18,The latest YUJI's TIMES!  @LINK … #metoo,"[""The latest YUJI's TIMES!"", '@LINK\xa0… #metoo']",2,4,"['The', 'latest', 'YUJI', 's', 'TIMES', '@LINK', 'metoo']",7
1619,2018-03-18,#metoo #LoveTrumpsHate @LINK …,['#metoo #LoveTrumpsHate @LINK\xa0…'],1,3,"['metoo', 'LoveTrumpsHate', '@LINK']",3
1620,2018-03-18,"What about #kidstoo? Fuck these #metoo whores. You wanted fame, you sucked a dick. Deal with the consequences. I'd never touch a kid, but I'll hold a door shut on a whore.","['What about #kidstoo?', 'Fuck these #metoo whores.', 'You wanted fame, you sucked a dick.', 'Deal with the consequences.', ""I'd never touch a kid, but I'll hold a door shut on a whore.""]",5,7,"['What', 'about', 'kidstoo', 'Fuck', 'these', 'metoo', 'whores', 'You', 'wanted', 'fame', 'you', 'sucked', 'a', 'dick', 'Deal', 'with', 'the', 'consequences', 'I', 'd', 'never', 'touch', 'a', 'kid', 'but', 'I', 'll', 'hold', 'a', 'door', 'shut', 'on', 'a', 'whore']",34
1621,2018-03-18,@MENTION @MENTION MENTALLY DAMN ILL. & girl me too lol #metoo ,['@MENTION @MENTION MENTALLY DAMN ILL. & girl me too lol #metoo'],1,10,"['@MENTION', '@MENTION', 'MENTALLY', 'DAMN', 'ILL', 'girl', 'me', 'too', 'lol', 'metoo']",10
