Account,Frequency
@ShawnMendes,170
@Variety,150
@nytimes,60
@ABCPolitics,60
@RetroNewsNow,50
@CBSNews,50
@arichooseslove,40
@AFPMexico,30
@TIME,30
@PacoGoldman,30
@NYTimes,30
@guardian,20
@selenagomez,20
@guynamedgabe,20
@WorldTruthTV,10
@BuzzFeedNews,10
@RAIDERS,10
@NatGeo,10
@PatiJinich,10
@AndreaRussett,10
@NFLPA,10
@Poynter,10
@NFLprguy,10
@ninadobrev,10
@nytimesworld,10
@JenSelter,10
@samsmithworld,10
@Rlf2014Ricardo,10
@diegoluna_,10
@ClaudioXGG,10
@NFL,10
@MaartenVanDaele,10
@rayguy3,10
@arielmou,10
@realDonaldTrump,10
@DanScavino,10
@cnni,10
@PODERSF,10
@denalgas,10
@Israel,10
@BoxingKingdom14,10
@Jezebel,10
@MichaelDelauzon,10
@aicm_mx,10
@michaelluo,10
@argumento_,10
@dovesandletters,10
@OneRepublic,10
