Account,Frequency
@arichooseslove,990
@ShawnMendes,910
@ABC,810
@Variety,530
@MattOswaltVA,430
@selenagomez,300
@guynamedgabe,280
@realDonaldTrump,230
@AFPMexico,200
@kwilli1046,190
@latimes,150
@nytimes,140
@FirstOrderPod,140
@arasaucedo24,140
@1DUpdatesOnline,140
@mehdifoundation,130
@jorge_guajardo,130
@SavetheChildren,120
@temblor,110
@papermagazine,110
@SquadBrasilLM,100
@YouTube,100
@AnimalsBelize,90
@Cory_1077,90
@davidluhnow,90
@DUALIPA,80
@JustinTrudeau,80
@APEntertainment,80
@NBCNews,80
@Breaking911,70
@wbcmoro,70
@billiejoe,70
@LanceWymanNews,70
@ronlin,70
@GGGBoxing,70
@psskow,60
@SCSsoftware,60
@ClaytonTConn,60
@ABCPolitics,60
@Biedersam,60
@diegoluna_,60
@DrakeBell,60
@luchablog,50
@samsmithworld,50
@aurabogado,50
@miss_galey,50
@chicagosglobal,50
@CBSNews,50
@AP,50
@billboard,50
@cyclingtips,50
@lanow,50
@RetroNewsNow,50
@CNN,50
@NBCNightlyNews,50
@TheWholeWorldOr,40
@MotorcyclistMag,40
@Boomskie,40
@SanDiegoMag,40
@usairforce,40
@NYTimes,40
@ChuckNASCAR,40
@ninadobrev,40
@rstein357,40
@TIME,40
@aogarza,40
@WesternUnion,40
@PacoGoldman,40
@MixersStream,40
@aicm_mx,40
@FifthHarmony,40
@voguemagazine,40
@BuzzFeedNews,30
@KalkiAvatarFdn,30
@larrywilbur71,30
@AaronCarpenter,30
@ConsulMexCho,30
@OfficialMonstaX,30
@Reuters,30
@MessiahFdn,30
@Edelman11,30
@common,30
@CBSLA,30
@ChicagoRedCross,30
@HazOsterfield,30
@eugenegu,30
@U2,30
@djsnake,30
@Independent,30
@Eater,30
@AFP,30
@ABC7,30
@Bethenny,30
@slipknot,30
@jdbalart,30
@trbrad62,30
@mcantu06,30
@Mariano_Frias,30
@ChiSisterCities,30
@itsDominiqueB,20
@LRB,20
@prize_jesse,20
@Crux,20
@Miguelnbc,20
@wawinaApr,20
@PeriscopeTV,20
@hyperallergic,20
@rexthedog1980,20
@VINNews,20
@GMA,20
@IAEMCdnCouncil,20
@nytimesworld,20
@BoxingKingdom14,20
@AirCanada,20
@TheJBCrewdotcom,20
@dbeltwrites,20
@SacAreaFF522,20
@ajplus,20
@Telegraph,20
@NetworksManager,20
@justjaredjr,20
@HolidayInn,20
@interjet_mx,20
@UNISDR_Americas,20
@POTUS,20
@Notimex,20
@SWForceNews,20
@LITTLEPEACH_KH,20
@VP,20
@sebtsb,20
@cnalive,20
@HFUSA,20
@AshCrossan,20
@HSI_Mexico,20
