USGS_Nevada,"Hydrologist Poff showing height of Aug 27 flood flow at Brays Channel at Gessner in Houston, TX. Helping colleagues… https://t.co/b0CUFVPy6p"
USGS_Nevada,Hydrologist Schmidt setting up a GPS survey at Brays Channel at Gessner in Houston TX in support of the… https://t.co/EMJIxUOTra
Pmick3,#Emmys2017 the level of hypocrisy is mind blowing millions spent 4 that shit. People are homeless. #IrmaFlorida #Harveyflood #fakeassshit
__Copacetic,RT @5stahg: You gotta make the best out of every situation 🙄 #HoustonStrong #HurricaneHarvey #MondayMotivation #HarveyFlood #Harvey #PrayFo…
Hera1933,RT @nichole_is_rad: If I never see rain again it would be too soon. #Harvey2017 #HarveyFlood #HoustonStrong #CabinFever #Monet Garden at Sa…
AugustEve2012,RT @fdell3: Congress had better not fund a wall after #HarveyFlood https://t.co/w9Ik3UTJ6U
__natacia,RT @nh60dmook: HOUSTON WE GOTTA STICK TOGETHER #HarveyFlood #HurricaneHarvey https://t.co/9LNsdmhMKj
wendellshaw5,"RT @GeorgiaDirtRoad: ""I've never seen so much love in a place in my life,"" says Kentucky man who came to help #HarveyFlood victims. 🎯
https…"
mupwa,RT @TheBoldthouse: Hurricane Harvey Relief Benefit today 1-9 pm. Live music all afternoon. Come on by! #hurricaneharvey #harveyflood #seabr…
OrgThis,"Proud #Texas, United American https://t.co/OYKn47T6x7 #HarveyFlood #USA #Pride"
PaulDouglasHale,"RT @PaulDouglasHale: #Trump' #Texas Failure To Evacuate #Harvey
Same As #Bush+#Katrina
Hale' #K9 #Katrina #SAR #Dog
#HarveyFlood #Beaumont…"
Lourdes52360335,RT @bikesey: JJ Watt setting a fine example in light of the floods in the US. #HarveyFlood
RonaldClarke,RT @nichole_is_rad: If I never see rain again it would be too soon. #Harvey2017 #HarveyFlood #HoustonStrong #CabinFever #Monet Garden at Sa…
ReverendKitchen,More #artfromtheheart at @WayneArtCenter 3-5 pm today. PA ❤️ for #Harveyflood https://t.co/aBbGsbOy5E
ReverendKitchen,"Welcome, all! Today, 3-5 pm, #ArtfromtheHeart to  benefit #Harveyflood at @WayneArtCenter https://t.co/3SvEr66rfR"
revelations_pod,RT @Girltalkandwine: #laughter in the wake of tragedy. #episode 50 #PodernFamily #ladypodsquad #trypod #podecho #harvey #harveyflood https:…
TweetTw88036790,RT @jackhunter74: How federal flood insurance made the tragedy in Houston worse by @bonniekristian #HarveyFlood  https://t.co/LVFAvtrLuC
Luxuexx,RT @nh60dmook: HOUSTON WE GOTTA STICK TOGETHER #HarveyFlood #HurricaneHarvey https://t.co/9LNsdmhMKj
BirdBrayn,Trials can make us stronger. Tree roots grow deeper in stormy climes. Trust God as you prepare for tomorrow. #faith… https://t.co/w06gAKf9IU
davidmelber,Grateful for my home church @alpharettafbc sending team today to @HoustonFirst to serve @sendrelief #Harveyflood
RekayaGibson,RT @Girltalkandwine: #laughter in the wake of tragedy. #episode 50 #PodernFamily #ladypodsquad #trypod #podecho #harvey #harveyflood https:…
LeolaRoss7,@RepJohnZerwas In addition to cleaning &amp; restoring homes we also must clean streets post-#Harveyflood https://t.co/5ezuoCBuH0
slambert2969,George Bush park in Houston #22dayslater #Harveyflood https://t.co/V7Ezce1GTe
mupwa,Clear Lake &amp; Galveston Bay area residents: this is the place to be this afternoon! #HarveyRelief #seabrook… https://t.co/31LvhsuFPw
Boyd_2650,RT @disings: RETWEET #Harveyflood #harveystorm #Harvey #Pets https://t.co/nqzPLg1vJD
TheBoldthouse,Hurricane Harvey Relief Benefit today 1-9 pm. Live music all afternoon. Come on by! #hurricaneharvey #harveyflood… https://t.co/ORemW1S6KR
Jayc27rwt,"RT @ITZDANNNO: Those people are legends #Houston #HarveyFlood #HoustonFloods #Texas 
https://t.co/pL8u8T8gbV"
MikeLoBurgio,RT @nancysuzyq: Air Force Dispatched To Spray 6 Million Acres In Texas With Insecticide Following #Harveyflood https://t.co/Ihq0IKCyB5
laplacanancy,#Florida’s Poop Nightmare Now True  https://t.co/odX4JYANBR Same: #Harveyflood #IrmaHurricane2017 @FLAnnScott @FLGovScott #climatechange
